project_name,project_id,role,exact_version,minecraft_version,loader,environment,release_type,release_date,last_meaningful_update,maintenance_signals,source_available,license,redistribution_rules,required_dependencies,configuration_quality,documented_api,multiplayer_support,dedicated_server_support,performance_risk,save_persistence,removal_consequence,worldgen_impact,matcha_overlap,overlap_with_other_candidates,known_conflicts,documentation_quality,guidebook_or_advancement_noise,custom_patch_likely,decision,confidence,rationale,authoritative_sources
Pufferfish's Skills,hqQqvaa4,framework,0.18.3 [GxnNQdFo],26.2,fabric,client_and_server,beta,2026-07-31T14:07:22.614609Z,2026-07-31,Modrinth metadata updated 2026-07-31; source repository push 2026-07-31; issue endpoint HTTP 403.,yes (public source link),LicenseRef-Custom,Follow the custom licence URL supplied by the project and obtain a redistribution review before release.,Fabric API,clear/editor-backed,yes,server and client,yes,high,player skill trees and progression,very high,none,"high, direct mastery/progression overlap","Future mastery system, Modonomicon and skill-tree addons",Beta release; custom licence; framework alone has no player content and can introduce an MMO-style progression surface contrary to the current design,strong,high,likely,COMPATIBILITY_SPIKE,HIGH,"Pufferfish's Skills has a real 26.2 beta, an editor and an explicit API, but it is a progression framework that needs separate skill-tree content and overlaps the future mastery contract. It requires a design spike, not default inclusion.",https://api.modrinth.com/v2/project/hqQqvaa4;https://api.modrinth.com/v2/project/hqQqvaa4/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/pufmat/skillsmod;https://github.com/pufmat/skillsmod;https://api.github.com/repos/pufmat/skillsmod;https://api.github.com/repos/pufmat/skillsmod/commits?per_page=10;https://api.github.com/repos/pufmat/skillsmod/issues?state=all&per_page=5;https://github.com/pufmat/skillsmod/wiki/License
Simple Smithing Overhaul,U5TJjZc3,framework,2.9.10+26.2-fabric [GG4f5wOP],26.2,fabric,client_and_server,release,2026-08-11T17:13:47.661656Z,2026-08-11,Modrinth metadata updated 2026-08-11; source repository push 2026-08-11; issue endpoint HTTP 403.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Defaulted; Fzzy Config; Fabric API; mixson,clear,no,server and client,yes,high,"recipes, smithing rules, advancements and item outcomes",high,none,"high, direct equipment and repair overlap","Future equipment repair/reforging, Matcha equipment mechanics","Requires Defaulted, Fzzy Config, Fabric API and mixson; changes acquisition and repair balance and adds advancement-led onboarding",good,high,likely,COMPATIBILITY_SPIKE,HIGH,"Simple Smithing Overhaul has a stable 26.2 release and directly addresses repair, smithing and enchantment access. Its changes overlap the accepted equipment/repair model and include an advancement tree, so it requires a controlled comparison rather than adoption by name.",https://api.modrinth.com/v2/project/U5TJjZc3;https://api.modrinth.com/v2/project/U5TJjZc3/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/pajicadvance/simple-smithing-overhaul;https://github.com/pajicadvance/simple-smithing-overhaul;https://api.github.com/repos/pajicadvance/simple-smithing-overhaul;https://api.github.com/repos/pajicadvance/simple-smithing-overhaul/commits?per_page=10;https://api.github.com/repos/pajicadvance/simple-smithing-overhaul/issues?state=all&per_page=5
Villager API,9Tp2Becg,framework,1.26.7.1 [QmtHsEEy],26.2,fabric,client_and_server,release,2026-07-05T13:30:17.366633Z,2026-01-15,Modrinth metadata updated 2026-07-05; latest source commit 2026-01-15: Initial upload; recent issue records observed.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,Fabric API,documented JSON,yes,server and client,yes,high,"villager professions, types and trades",very high,low,"moderate, villager and trade overlap","Future career system, Matcha villager/trade mechanics",Latest source commit signal was January 2026; issue records include /reload trade loss and malformed-provider reports; removal requires villager migration,good,low,likely,COMPATIBILITY_SPIKE,HIGH,"Villager API offers a public data-driven profession, biome type and trade framework on 26.2. It is a credible foundation for future careers, but villager persistence and the source issue history require a dedicated authority and migration spike.",https://api.modrinth.com/v2/project/9Tp2Becg;https://api.modrinth.com/v2/project/9Tp2Becg/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/frikinjay/villagerapi;https://github.com/frikinjay/villagerapi;https://api.github.com/repos/frikinjay/villagerapi;https://api.github.com/repos/frikinjay/villagerapi/commits?per_page=10;https://api.github.com/repos/frikinjay/villagerapi/issues?state=all&per_page=5
Concurrent Chunk Management Engine (Fabric),VSNURh3q,information/performance,0.4.2-alpha.0.43+26.2 [jSMMstCy],26.2,fabric,server_only_client_optional,alpha,2026-08-14T11:00:21.741627Z,2026-08-16,Modrinth metadata updated 2026-08-25; latest source commit 2026-08-16: Fill float for constant F32 multi delegates (#585) [ci skip]; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,None declared in selected version record,detailed/high-risk,no,"server-side, clients optional",yes,very high,none documented beyond configuration,medium,moderate,"low, worldgen interaction unverified","Lithium, FerriteCore, Sodium, structure packs",26.2 alpha; test with every worldgen/structure dependency before inclusion,good,none,possible,COMPATIBILITY_SPIKE,HIGH,A real 26.2 Fabric alpha exists and the project publishes current chunk-performance work. The async chunk and generation path is valuable but too invasive for an untested baseline.,https://api.modrinth.com/v2/project/VSNURh3q;https://api.modrinth.com/v2/project/VSNURh3q/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/RelativityMC/C2ME-fabric;https://github.com/RelativityMC/C2ME-fabric;https://api.github.com/repos/RelativityMC/C2ME-fabric;https://api.github.com/repos/RelativityMC/C2ME-fabric/commits?per_page=10;https://api.github.com/repos/RelativityMC/C2ME-fabric/issues?state=all&per_page=5
EMI,fRiHVvU7,information/performance,No 26.2 Fabric release. Newest observed: 1.1.24+1.21.1+fabric [on5GT1qh],1.21.1,fabric,client_only_server_optional,release,2026-05-13T06:21:13.679362Z,2026-08-18,Modrinth metadata updated 2026-05-13; latest source commit 2026-08-18: Introduce some abstractions; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,None declared in selected version record,clear,yes,"client-only, server optional",optional,low,client configuration and favourites only,low,none,"low, recipes would expose Matcha content",Roughly Enough Items (REI),No 26.2 Fabric release observed; do not substitute the 1.21.1 build,strong,low,no,DEFER,HIGH,"EMI is a strong documented recipe-viewer alternative with an active source repository, but the latest observed Fabric release is for 1.21.1 rather than 26.2. No 26.2 Fabric release was observed, so the newest compatible record is shown without substitution.",https://api.modrinth.com/v2/project/fRiHVvU7;https://api.modrinth.com/v2/project/fRiHVvU7/version?loaders=%5B%22fabric%22%5D;https://github.com/emilyploszaj/emi/;https://github.com/emilyploszaj/emi;https://api.github.com/repos/emilyploszaj/emi;https://api.github.com/repos/emilyploszaj/emi/commits?per_page=10;https://api.github.com/repos/emilyploszaj/emi/issues?state=all&per_page=5
Entity Culling,NNAgCjsB,information/performance,1.10.5 [iiF6U3Ne],26.2,fabric,client_only,release,2026-06-20T14:43:52.362716Z,2026-08-22,"Modrinth metadata updated 2026-06-20; latest source commit 2026-08-22: Formatting, optimize icon #309; recent issue records observed.",yes (public source link),LicenseRef-tr7zw-Protective-License,Project terms permit Modrinth/CurseForge-hosted modpacks but restrict other JAR redistribution; verify the exact licence text.,Fabric API,clear,no,client-only,no,medium,client configuration only,low,none,none identified,"Sodium, ImmediatelyFast, FerriteCore",Protective licence says Modrinth/CurseForge-hosted modpacks are allowed but JAR redistribution elsewhere is not; whitelist Matcha and modded block entities during testing,good,none,no,PILOT,HIGH,"The 26.2 release and active issue handling make it a plausible client optimisation, but the project licence explicitly restricts JAR redistribution and culling must be tested against visual correctness.",https://api.modrinth.com/v2/project/NNAgCjsB;https://api.modrinth.com/v2/project/NNAgCjsB/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/tr7zw/EntityCulling;https://github.com/tr7zw/EntityCulling;https://api.github.com/repos/tr7zw/EntityCulling;https://api.github.com/repos/tr7zw/EntityCulling/commits?per_page=10;https://api.github.com/repos/tr7zw/EntityCulling/issues?state=all&per_page=5;https://github.com/tr7zw/EntityCulling/blob/1.18/LICENSE-EntityCulling
FerriteCore,uXXizFIs,information/performance,9.0.0-fabric [d5ddUdiB],26.2,fabric,client_or_server,release,2026-03-24T18:31:50.491773Z,2026-03-24,Modrinth metadata updated 2026-03-24; latest source commit 2026-03-24: Build 9.0.0; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,None declared in selected version record,limited/mostly automatic,no,client and server,yes,low,none documented beyond configuration,low,none,none identified,"Lithium, C2ME, Sodium",Validate memory and startup behaviour in the assembled pack rather than relying on headline benchmarks,good,none,no,ADOPT_BASELINE,HIGH,"The 26.2 release is stable, the source is public, and the mod describes bounded memory optimisations without a gameplay API or worldgen feature.",https://api.modrinth.com/v2/project/uXXizFIs;https://api.modrinth.com/v2/project/uXXizFIs/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/malte0811/FerriteCore;https://github.com/malte0811/FerriteCore;https://api.github.com/repos/malte0811/FerriteCore;https://api.github.com/repos/malte0811/FerriteCore/commits?per_page=10;https://api.github.com/repos/malte0811/FerriteCore/issues?state=all&per_page=5
ImmediatelyFast,5ZwdcRci,information/performance,1.16.4+26.2-fabric [vkW9vHhp],26.2,fabric,client_only,release,2026-08-27T20:23:38.415352Z,2026-08-27,Modrinth metadata updated 2026-08-27; latest source commit 2026-08-27: Bump version to 1.16.5-SNAPSHOT; recent issue records observed.,yes (public source link),LGPL-3.0-or-later,Redistribution is permitted under LGPL terms with notices and applicable source/relinking obligations.,None declared in selected version record,clear,no,client-only,no,low,client configuration only,low,none,none identified,"Sodium, Entity Culling","Client rendering changes still need a smoke test with REI, Jade, Litematica and resource packs",good,none,no,ADOPT_BASELINE,HIGH,A current stable 26.2 client release and an active source repository make this a low-surface rendering optimisation candidate for the baseline.,https://api.modrinth.com/v2/project/5ZwdcRci;https://api.modrinth.com/v2/project/5ZwdcRci/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/RaphiMC/ImmediatelyFast;https://github.com/RaphiMC/ImmediatelyFast;https://api.github.com/repos/RaphiMC/ImmediatelyFast;https://api.github.com/repos/RaphiMC/ImmediatelyFast/commits?per_page=10;https://api.github.com/repos/RaphiMC/ImmediatelyFast/issues?state=all&per_page=5
Jade 🔍,nvQzSEkH,information/performance,26.2.11+fabric [ue8CO97w],26.2,fabric,client_or_server_prefers_both,release,2026-08-15T00:01:23.656205Z,2026-08-24,Modrinth metadata updated 2026-08-28; latest source commit 2026-08-24: fix: #804; recent issue records observed.,yes (public source link),CC-BY-NC-SA-4.0,"Attribution, non-commercial use and share-alike obligations apply; review pack distribution and adaptations.",Just Enough Items (JEI) (optional); Fabric API,clear,yes,client with optional server support,optional,low,client configuration only,low,none,"low, presentation of Matcha items is possible",None direct; recipe viewers are adjacent information surfaces,CC-BY-NC-SA-4.0 obligations; server-side detail depends on the matching server integration,strong,low,possible,ADOPT_BASELINE,HIGH,"LAB-01 verified on a dedicated server built from the exported .mrpack: loads clean, no Matcha conflict, identical recipe and advancement counts with and without it, and safe removal. See labs/results/LAB-01-information-and-onboarding.md. Jade has a stable 26.2 release, an explicit API focus, and very recent source and issue activity. Pilot it for contextual information while checking custom Matcha identities and the CC-BY-NC-SA redistribution terms.",https://api.modrinth.com/v2/project/nvQzSEkH;https://api.modrinth.com/v2/project/nvQzSEkH/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Snownee/Jade;https://github.com/Snownee/Jade;https://api.github.com/repos/Snownee/Jade;https://api.github.com/repos/Snownee/Jade/commits?per_page=10;https://api.github.com/repos/Snownee/Jade/issues?state=all&per_page=5
Lithium,gvQqBUqZ,information/performance,mc26.2-0.25.3-fabric [f7vZ0VWU],26.2,fabric,client_or_server_prefers_both,release,2026-07-29T12:19:55.348704Z,2026-08-10,Modrinth metadata updated 2026-07-29; latest source commit 2026-08-10: Change updateOnClear injection point to HEAD; recent issue records observed.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,None declared in selected version record,documented,no,client and server,yes,low/medium,none documented beyond configuration,low,none,none identified,"FerriteCore, C2ME",Run the dedicated-server and mod-interaction smoke tests because optimisation patches can expose edge cases,strong,none,no,ADOPT_BASELINE,HIGH,"Lithium provides a stable 26.2 release, active maintenance, and a documented goal of preserving vanilla mechanics on both client and server.",https://api.modrinth.com/v2/project/gvQqBUqZ;https://api.modrinth.com/v2/project/gvQqBUqZ/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/caffeinemc/lithium-fabric;https://github.com/caffeinemc/lithium-fabric;https://api.github.com/repos/caffeinemc/lithium-fabric;https://api.github.com/repos/caffeinemc/lithium-fabric/commits?per_page=10;https://api.github.com/repos/caffeinemc/lithium-fabric/issues?state=all&per_page=5
Mod Menu,mOgUt4GM,information/performance,20.0.1 [njXb639R],26.2,fabric,client_only,release,2026-07-09T21:54:21.377948Z,2026-07-23,Modrinth metadata updated 2026-08-10; latest source commit 2026-07-23: Update to 26.3-snapshot-5.; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API; Text Placeholder API,clear,partial,client-only,no,low,client configuration only,low,none,none identified,None direct,Requires Fabric API and Text Placeholder API in the selected version; no server gameplay authority,strong,none,no,ADOPT_BASELINE,HIGH,"Mod Menu has a stable 26.2 client release, a public source repository, and a narrow role for discovering and configuring installed mods.",https://api.modrinth.com/v2/project/mOgUt4GM;https://api.modrinth.com/v2/project/mOgUt4GM/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/TerraformersMC/ModMenu;https://github.com/TerraformersMC/ModMenu;https://api.github.com/repos/TerraformersMC/ModMenu;https://api.github.com/repos/TerraformersMC/ModMenu/commits?per_page=10;https://api.github.com/repos/TerraformersMC/ModMenu/issues?state=all&per_page=5
Roughly Enough Items (REI),nfn13YXA,information/performance,26.2.820+fabric [4o0NSIMj],26.2,fabric,client_or_server_prefers_both,release,2026-06-18T09:37:54.945Z,2026-07-29,Modrinth metadata updated 2026-06-18; latest source commit 2026-07-29: Disabled local fallback not loading recipes for server-sent packets + added dedup for display creati; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Architectury API; Fabric API; Cloth Config API,documented,yes,client and server,yes,low/medium,client configuration and favourites only,low,none,"low, exposes Matcha recipes without owning them",EMI,"Choose one primary recipe viewer; selected release requires Architectury API, Fabric API and Cloth Config API",strong,low,no,ADOPT_BASELINE,HIGH,"LAB-01 verified on a dedicated server built from the exported .mrpack: loads clean, no Matcha conflict, identical recipe and advancement counts with and without it, and safe removal. See labs/results/LAB-01-information-and-onboarding.md. REI is the strongest 26.2 recipe-viewer baseline found: a stable Fabric release, public API documentation, and active source changes including a 26.2 migration.",https://api.modrinth.com/v2/project/nfn13YXA;https://api.modrinth.com/v2/project/nfn13YXA/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/shedaniel/RoughlyEnoughItems;https://github.com/shedaniel/RoughlyEnoughItems;https://api.github.com/repos/shedaniel/RoughlyEnoughItems;https://api.github.com/repos/shedaniel/RoughlyEnoughItems/commits?per_page=10;https://api.github.com/repos/shedaniel/RoughlyEnoughItems/issues?state=all&per_page=5
Sodium,AANobbMI,information/performance,mc26.2-0.9.2-alpha.4-fabric [a9YZH3ip],26.2,fabric,client_only,alpha,2026-08-07T00:44:20.437948Z,2026-08-07,Modrinth metadata updated 2026-08-07; latest source commit 2026-08-07: Bump version to 0.9.2-alpha.4 and update changelog; recent issue records observed.,yes (public source link),LicenseRef-Polyform-Shield-1.0.0,"Polyform Shield terms apply; verify hosting, redistribution and commercial-use restrictions before release.",None declared in selected version record,clear,partial,client-only,no,medium,client configuration only,low,none,none identified,"ImmediatelyFast, Entity Culling, FerriteCore, Litematica","26.2 alpha; test Iris, Litematica, Jade, REI and custom resource-pack rendering; Polyform Shield terms require review",strong,none,possible,PILOT,HIGH,"Sodium has a real 26.2 build and exceptionally active maintenance, but the observed build is alpha. Pilot it with the pack render stack rather than calling alpha support a stable baseline.",https://api.modrinth.com/v2/project/AANobbMI;https://api.modrinth.com/v2/project/AANobbMI/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/CaffeineMC/sodium;https://github.com/CaffeineMC/sodium;https://api.github.com/repos/CaffeineMC/sodium;https://api.github.com/repos/CaffeineMC/sodium/commits?per_page=10;https://api.github.com/repos/CaffeineMC/sodium/issues?state=all&per_page=5;https://github.com/CaffeineMC/sodium/blob/dev/LICENSE.md
spark,l6YH9Als,information/performance,1.10.173-fabric [iYFOl6lQ],26.2,fabric,client_or_server,release,2026-06-18T21:12:12.918302Z,2026-08-25,Modrinth metadata updated 2026-06-18; latest source commit 2026-08-25: TickStatistics extend AutoClosable; recent issue records observed.,yes (public source link),GPL-3.0-only,Redistribution is permitted under GPL-3.0-only with notices and corresponding-source obligations as applicable.,None declared in selected version record,clear,partial,client and server,yes,"low while inactive, medium during profiles",none documented beyond configuration,low,none,none identified,None direct,GPL-3.0-only; profiling commands can add load while active and should not be mistaken for normal runtime cost,strong,none,no,ADOPT_BASELINE,HIGH,"spark has a stable 26.2 release, current source commits and documented server profiling workflows. It is useful as an audit tool rather than a player progression feature.",https://api.modrinth.com/v2/project/l6YH9Als;https://api.modrinth.com/v2/project/l6YH9Als/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/lucko/spark;https://github.com/lucko/spark;https://api.github.com/repos/lucko/spark;https://api.github.com/repos/lucko/spark/commits?per_page=10;https://api.github.com/repos/lucko/spark/issues?state=all&per_page=5;https://github.com/lucko/spark/blob/master/LICENSE.txt
Cooking for Blockheads,vJnhuDde,lifestyle,26.2.0.3+fabric-26.2 [4ajPEtRY],26.2,fabric,client_and_server,release,2026-08-21T06:03:30.423886Z,2026-08-22,Modrinth metadata updated 2026-08-21; latest source commit 2026-08-22: chore: Regenerate data; recent issue records observed.,yes (public source link),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,Balm; Fabric API,clear,no,server and client,yes,medium,kitchen blocks and inventories,high,none,"moderate, food and recipe overlap","Farmer's Delight Refabricated, Tom's Simple Storage",All-Rights-Reserved with separate permissions page; kitchen cupboards and ingredient discovery may duplicate warehouse/storage goals,good,low,likely,COMPATIBILITY_SPIKE,HIGH,"Cooking for Blockheads has a stable 26.2 build and a clear kitchen inventory interface, but its All-Rights-Reserved licence and storage-like network overlap make it a spike rather than an automatic food baseline.",https://api.modrinth.com/v2/project/vJnhuDde;https://api.modrinth.com/v2/project/vJnhuDde/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/TwelveIterations/CookingForBlockheads;https://github.com/TwelveIterations/CookingForBlockheads;https://api.github.com/repos/TwelveIterations/CookingForBlockheads;https://api.github.com/repos/TwelveIterations/CookingForBlockheads/commits?per_page=10;https://api.github.com/repos/TwelveIterations/CookingForBlockheads/issues?state=all&per_page=5;https://mods.twelveiterations.com/permissions
Farmer's Delight Refabricated,7vxePowz,lifestyle,26.2-3.6.17 [7v050iYz],26.2,fabric,client_and_server,release,2026-08-21T15:31:29.652618Z,2026-08-21,Modrinth metadata updated 2026-08-21; latest source commit 2026-08-21: Merge pull request #364 from DOMANG/patch-2; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Reliable Recipe Viewer (optional); Just Enough Items (JEI) (optional); Fabric API,documented,partial,server and client,yes,medium,"food items, cooking blocks and recipes",high,low,"moderate, food recipes and ingredients",Cooking for Blockheads,Optional recipe-viewer integrations and a documented advancement-led onboarding path can add noise; retain ordinary vanilla food,strong,moderate,possible,ADOPT_BASELINE,HIGH,"Farmer's Delight Refabricated is a stable 26.2 Fabric cooking and farming port with an active source repository. It is the strongest food-content baseline, subject to recipe, advancement and Matcha overlap review.",https://api.modrinth.com/v2/project/7vxePowz;https://api.modrinth.com/v2/project/7vxePowz/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/MehVahdJukaar/FarmersDelightRefabricated;https://github.com/MehVahdJukaar/FarmersDelightRefabricated;https://api.github.com/repos/MehVahdJukaar/FarmersDelightRefabricated;https://api.github.com/repos/MehVahdJukaar/FarmersDelightRefabricated/commits?per_page=10;https://api.github.com/repos/MehVahdJukaar/FarmersDelightRefabricated/issues?state=all&per_page=5
Friends&Foes (Fabric/Quilt),POQ2i9zu,lifestyle,fabric-4.0.27+mc26.2 [rJBCX3gG],26.2,fabric,client_and_server,release,2026-08-07T06:26:27.985431Z,2026-08-06,Modrinth metadata updated 2026-08-07; latest source commit 2026-08-06: Updated changelog; recent issue records observed.,yes (public source link),CC-BY-NC-ND-4.0,"Attribution and non-commercial use apply, and derivatives are not permitted without permission.",Resourceful Lib; Fabric API; YetAnotherConfigLib (YACL) (optional); Mod Menu (optional),documented,partial,server and client,yes,medium,"entities, recipes and structure content",high,moderate,"low, possible mob/structure discovery overlap","Naturalist, Dungeons and Taverns, other structure packs",CC-BY-NC-ND-4.0 prohibits derivatives; current issue records include mob behaviour and crash reports,good,low,possible,PILOT,HIGH,"Friends&Foes has a stable 26.2 release, active source activity and server support, but it adds entities and some worldgen under CC-BY-NC-ND-4.0. Pilot selected mobs rather than accepting the whole content set by default.",https://api.modrinth.com/v2/project/POQ2i9zu;https://api.modrinth.com/v2/project/POQ2i9zu/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Faboslav/friends-and-foes;https://github.com/Faboslav/friends-and-foes;https://api.github.com/repos/Faboslav/friends-and-foes;https://api.github.com/repos/Faboslav/friends-and-foes/commits?per_page=10;https://api.github.com/repos/Faboslav/friends-and-foes/issues?state=all&per_page=5
Naturalist,F8BQNPWX,lifestyle,No 26.2 Fabric release. Newest observed: 2.0.3+1.21.1-fabric [DwMaTECx],1.21.1,fabric,client_and_server,release,2026-08-16T17:05:21.195228Z,2026-08-16,Modrinth metadata updated 2026-08-16; no source_url supplied.,no (no source_url supplied),LicenseRef-Custom,Follow the custom licence URL supplied by the project and obtain a redistribution review before release.,Fabric API,limited,no,server and client,yes,medium,entities and world content,high,moderate,low,"Friends&Foes, Icy's Better Horses",No 26.2 Fabric release observed; no source_url supplied; custom licence URL points to an older branch,limited,low,likely,DEFER,HIGH,"Naturalist remains a plausible vanilla-style animal alternative, but the newest observed Fabric release is 1.21.1, no source_url is provided and its custom licence needs review. No 26.2 Fabric release was observed, so the newest compatible record is shown without substitution.",https://api.modrinth.com/v2/project/F8BQNPWX;https://api.modrinth.com/v2/project/F8BQNPWX/version?loaders=%5B%22fabric%22%5D
Particular ✨ Reforged,pYFUU6cq,lifestyle,1.5.7 [1VSvTbTm],26.2,fabric,client_only,release,2026-08-16T14:05:52.929953Z,2026-08-16,Modrinth metadata updated 2026-08-16; latest source commit 2026-08-16: 1.5.7; recent issue records observed.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,Mod Menu (optional); BaguetteLib; Fabric API; Forge Config API Port,clear,no,client-only,no,medium,client configuration only,low,low,none identified,"Sound Physics Remastered, Presence Footsteps as ambience choices",Requires BaguetteLib and Forge Config API Port; source issues include a 26.2 water-particle crash,good,none,no,PILOT,HIGH,"Particular Reforged has a stable 26.2 client release, current source activity and configurable visual ambience. Pilot it for effect density and rendering compatibility rather than treating visual effects as gameplay.",https://api.modrinth.com/v2/project/pYFUU6cq;https://api.modrinth.com/v2/project/pYFUU6cq/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Leclowndu93150/Particular;https://github.com/Leclowndu93150/Particular;https://api.github.com/repos/Leclowndu93150/Particular;https://api.github.com/repos/Leclowndu93150/Particular/commits?per_page=10;https://api.github.com/repos/Leclowndu93150/Particular/issues?state=all&per_page=5
Presence Footsteps,rcTfTZr3,lifestyle,1.13.3+26.2 [8TkGmrgl],26.2,fabric,client_only,release,2026-06-23T18:25:46.021215Z,2026-08-17,Modrinth metadata updated 2026-06-23; latest source commit 2026-08-17: Change workflows to use correct java version; recent issue records observed.,yes (public source link),LicenseRef-Polyform-Shield-1.0,"Polyform Shield terms apply; verify hosting, redistribution and commercial-use restrictions before release.",Kirin (embedded); Mine Little Pony (optional); Fabric API,documented,partial,client-only,no,low/medium,client configuration and resource-pack sound mappings,low,none,none identified,"Sound Physics Remastered, Particular Reforged",Polyform Shield terms require redistribution review; custom resource-pack sound mappings need a provenance check,good,none,no,DEFER,HIGH,"Presence Footsteps has a current 26.2 release and recent source work, but its Polyform Shield licence and overlap with other ambience mods argue for deferring it until one audio stack is tested.",https://api.modrinth.com/v2/project/rcTfTZr3;https://api.modrinth.com/v2/project/rcTfTZr3/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Sollace/Presence-Footsteps;https://github.com/Sollace/Presence-Footsteps;https://api.github.com/repos/Sollace/Presence-Footsteps;https://api.github.com/repos/Sollace/Presence-Footsteps/commits?per_page=10;https://api.github.com/repos/Sollace/Presence-Footsteps/issues?state=all&per_page=5;https://polyformproject.org/licenses/shield/1.0.0
Serene Seasons,e0bNACJD,lifestyle,26.1.2.0.4 [13sXhUkI],26.2,fabric,client_and_server,beta,2026-07-01T09:41:42.050013Z,2026-08-19,Modrinth metadata updated 2026-07-01; latest source commit 2026-08-19: Add biome.hasPrecipitation compat (#602); recent issue records observed.,yes (public source link),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,Fabric API,documented,partial,server and client,yes,medium,world calendar and climate-sensitive crop state,high,none,"moderate, climate and food interactions","Future climate adapter, Farmer's Delight",Beta release and All-Rights-Reserved; preserve vanilla fallback and verify any GlitchCore/release-specific requirement,good,low,likely,PILOT,HIGH,"Serene Seasons is the locked first climate adapter target and has a 26.2 beta with active source maintenance. Pilot it behind the climate abstraction because calendar, crop and save behaviour are persistent-adjacent and the licence is All-Rights-Reserved.",https://api.modrinth.com/v2/project/e0bNACJD;https://api.modrinth.com/v2/project/e0bNACJD/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Glitchfiend/SereneSeasons;https://github.com/Glitchfiend/SereneSeasons;https://api.github.com/repos/Glitchfiend/SereneSeasons;https://api.github.com/repos/Glitchfiend/SereneSeasons/commits?per_page=10;https://api.github.com/repos/Glitchfiend/SereneSeasons/issues?state=all&per_page=5
